"题目"，"朝代"，"作者"，"内容"
"赠医师范子和","金末元初","段克己","我庐姑射东，君居西山隅。相去不十里，曳杖以问途。知我远方来，尽室相煦濡。衰年况多病，药物必尔须。诊视得家法，就为医多卢。贫贱人所恶，世利人所趋。君子异于众，而独与我娱。延我升中堂，坐列皆明儒。酒肴既登俎，左右罗童奴。令行爵无算，促使开大壶。酒酣意气逸，高论到唐虞。日晏未得归，欲起时见拘。自言小邑中，何尝试士夫。久客惜人情，褊量动辄踰。仍呼儿出拜，头角异凡雏。从小好文字，未睹明月珠。长者幸有赐，终身不敢渝。既蒙主人知，所愿献良图。世人岂无才，唯德不能俱。不见盆成括，以是丧厥躯。又徵荀氏语，至察则无徒。大辩外若讷，聪明守以愚。颜子称大贤，尚云有若无。吾言傥无忽，荣名不须沽。"
"同封仲坚采鹭鸶藤因而成咏录寄家弟诚之兼简李卫二生","金末元初","段克己","有藤名鹭鸶，天生匪人育。金花閒银蕊，翠蔓自成簇。褰裳涉春溪，采采渐盈掬。药物时所须，非为事口腹。牛溲与马勃，良医犹并蓄。况此香色奇，两通鼻与目。尤善疗疮疡，先贤讲之熟。世俗不知爱，弃置在空谷。作诗与题评，使异凡草木。"
"次友之秋日雨后韵","金末元初","王涧","洺州秋雨后，幽胜可供閒。白首留他县，归心绕故山。野泉来竹底，危磴入云间。尚记登高会，重嵓细菊斑。"
"谢竹堂先生见过","金末元初","王涧","学稼古寺侧，结庐高柳阴。音书故交绝，岁月杜门深。新雪添衰鬓，寒灰死壮心。西州贤别驾，连日肯相寻。"
"元鲁县琴台","金末元初","元好问","荒城草木合，破屋风雨侵。千年一琴台，眷焉涕盈襟。遗爱食县社，公宁不堪任。此台即甘棠，忍使无馀阴。旁舍高以华，大豪日捐金。苍云玄武暮，鬼物凭阴岑。尚德抑玄虚，坠典谁当寻？我兴荐寒泉，百拜公来临。公来不能知，落日下饥禽。怀哉空山里，鹤飞猿与吟。当年于蔿歌，补衮一何深。承平示得意，独能正哇淫。君相此一时，又复悟良箴。谀臣坐废黜，盍亦起幽沈。蒲轮竟颓毂，香草空深林。寂寞授书室，孤甥举遗衾。生平谅已然，薄俗矧来今。千山为公台，万籁为公琴。夔旷不并世，月露为知音。人间蹄涔耳，已矣非公心。"
"古意二首 其一","金末元初","元好问","七岁入小学，十五学时文。二十学业成，随计入咸秦。秦中多贵游，几与书生亲。年年抱关吏，空笑西来频。在昔学语初，父兄已卜邻。跛鳖不量力，强欲缘青云。四十有牧豕，五十有负薪。寂寥抱玉献，贱薄倡优陈。青衫亦区区，何时画麒麟。遇合仅一二，饥寒几何人。谁留章甫冠，万古徒悲辛。"
"古意二首 其二","金末元初","元好问","桃李弄娇娆，梨花澹丰容。盈盈两无语，??争春风。春风何许来，草木谁青红。天公亦老矣，何意夸儿童。昨朝花正开，今朝花已空。川流不肯驻，并与繁华东。楩楠千岁姿，肮脏空谷中。阳和不择地，亦复难为功。本无儿女心，安用尤天公。"
"赠答刘御史云卿","金末元初","元好问","学道有通蔽，今人乃其尤。温柔与敦厚，扫灭不复留。高蹇当父师，排击剧寇雠。真是未可必，自私有足羞。古人相异同，宁复操戈矛。春风入万物，枯蘖将和柔。克己未有加，归仁亦何由。先儒骨已腐，百骂不汝酬。胡为文字间，刮垢搜瘢疣。吾道非申韩，哀哉涉其流。大儒不知道，此论信以不。我观唐以还，斯文有伊周。开云揭日月，不独程张俦。圣途同一归，论功果谁优？户牖徒自辟，胶漆本易投。九原如可作，吾欲起韩欧。"
"送钦叔内翰并寄刘达卿郎中白文举编修二首 其一","金末元初","元好问","君性我所谙，我心君所知。凡我之所短，君亦时有之。谋事恨太锐，临断恨太迟。持论恨太高，徇俗恨太卑。人道自近始，贫富理不齐。君自不得饱，欲疗何人饥。乞醯乞诸邻，圣哲有明讥。被发救乡人，智者所不为。且如与人交，交有非所宜。白黑不复择，豁豁倾心脾。汎爱岂不可，后悔终自贻。又如与人言，宁复无失辞。刺口论成败，白眼谈歌诗。世故彀黄閒，能不发其机。闻君作损斋，似觉豪华非。惩忿与窒欲，百年有良规。与子各努力，岁晚以为期。"
"送钦叔内翰并寄刘达卿郎中白文举编修二首 其二","金末元初","元好问","古人遥相望，每恨不同时。同时得古人，欢乐良在兹。君归岂不佳，交游满京师。门前车马来，笑言慰所思。细话洛阳事，高咏嵩山诗。宫壶发新篘，宫梅耿幽姿。故应刘与白，亦复念微之。"
